Local Health Jurisdiction,GEOID,Number children under 6 w BLL at or above 3.5 µg/dL,Percent Children under  6 w BLL at or above 3.5 µg/dL ,Total Number children under 6 w/ BLL
Los Angeles,6037239202,23,0.045816733,502
Los Angeles,6037239310,13,0.032178218,404
Los Angeles,6037239320,15,0.04109589,365
Los Angeles,6037239330,17,0.05862069,290
Los Angeles,6037239501,10,0.028653295,349
Los Angeles,6037239502,13,0.035519126,366
Los Angeles,6037239601,15,0.04601227,326
Los Angeles,6037239602,13,0.039755352,327
Los Angeles,6037239701,12,0.032967033,364
Los Angeles,6037239702,6,0.016620499,361
Los Angeles,6037239801,15,0.046728972,321
Los Angeles,6037239802,17,0.035123967,484
Los Angeles,6037240010,7,0.020289855,345
Los Angeles,6037240020,16,0.034115139,469
Los Angeles,6037240200,14,0.028688525,488
Los Angeles,6037240301,9,0.032142857,280
Los Angeles,6037240302,12,0.046332046,259
Los Angeles,6037240401,12,0.024691358,486
Los Angeles,6037240402,12,0.04,300
Los Angeles,6037240500,13,0.022452504,579
Los Angeles,6037240600,13,0.029147982,446
Los Angeles,6037240700,20,0.03236246,618
Los Angeles,6037240800,6,0.014742015,407
Los Angeles,6037240901,2,0.008196721,244
Los Angeles,6037240902,8,0.026490066,302
Los Angeles,6037241001,12,0.032,375
Los Angeles,6037241002,1,0.002777778,360
Los Angeles,6037241110,11,0.033846154,325
Los Angeles,6037241120,21,0.04496788,467
Los Angeles,6037241201,11,0.047413793,232
Los Angeles,6037241202,18,0.050704225,355
Los Angeles,6037241300,12,0.072727273,165
Los Angeles,6037241400,5,0.014836795,337
Los Angeles,6037242000,10,0.022675737,441
Los Angeles,6037242100,3,0.013513514,222
Los Angeles,6037242201,10,0.026455026,378
Los Angeles,6037242202,12,0.04494382,267
Los Angeles,6037242300,17,0.037117904,458
Los Angeles,6037242600,9,0.020408163,441
Los Angeles,6037242700,17,0.027027027,629
Los Angeles,6037243001,7,0.022222222,315
Los Angeles,6037243002,9,0.023809524,378
Los Angeles,6037243100,15,0.028089888,534
Los Angeles,6037261102,2,0.02247191,89
Los Angeles,6037261103,0,0,23
Los Angeles,6037261104,3,0.09375,32
Los Angeles,6037261200,2,0.024691358,81
Los Angeles,6037262100,0,0,41
Los Angeles,6037262200,1,0.016949153,59
Los Angeles,6037262301,0,0,29
Los Angeles,6037262302,2,0.052631579,38
Los Angeles,6037262303,3,0.081081081,37
Los Angeles,6037262400,0,0,28
Los Angeles,6037262501,2,0.051282051,39
Los Angeles,6037262601,0,0,26
Los Angeles,6037262604,1,0.025,40
Los Angeles,6037262704,0,0,42
Los Angeles,6037262706,1,0.032258065,31
Los Angeles,6037262802,1,0.037037037,27
Los Angeles,6037264000,2,0.064516129,31
Los Angeles,6037264102,1,0.016666667,60
Los Angeles,6037264103,0,0,40
Los Angeles,6037264303,1,0.023255814,43
Los Angeles,6037264304,0,0,36
Los Angeles,6037264305,2,0.039215686,51
Los Angeles,6037264306,0,0,25
Los Angeles,6037265100,0,0,37
Los Angeles,6037265201,1,0.037037037,27
Los Angeles,6037265203,0,0,27
Los Angeles,6037265204,0,0,9
Los Angeles,6037265301,0,0,0
Los Angeles,6037265303,1,0.1,10
Los Angeles,6037265304,1,0.111111111,9
Los Angeles,6037265306,0,0,5
Los Angeles,6037265307,0,0,13
Los Angeles,6037265410,1,0.029411765,34
Los Angeles,6037265420,0,0,38
Los Angeles,6037265521,0,0,20
Los Angeles,6037265522,2,0.054054054,37
Los Angeles,6037265523,1,0.016666667,60
Los Angeles,6037265524,2,0.028985507,69
Los Angeles,6037265601,1,0.017241379,58
Los Angeles,6037265602,0,0,42
Los Angeles,6037265701,0,0,36
Los Angeles,6037265702,1,0.02,50
Los Angeles,6037267101,2,0.022988506,87
Los Angeles,6037267102,1,0.01369863,73
Los Angeles,6037267201,1,0.018181818,55
Los Angeles,6037267202,2,0.021505376,93
Los Angeles,6037267300,3,0.030612245,98
Los Angeles,6037267403,0,0,29
Los Angeles,6037267404,1,0.020408163,49
Los Angeles,6037267405,0,0,32
Los Angeles,6037267406,2,0.054054054,37
Los Angeles,6037267502,10,0.12195122,82
Los Angeles,6037267503,5,0.078125,64
Los Angeles,6037267504,3,0.024193548,124
Los Angeles,6037267600,2,0.028985507,69
Los Angeles,6037267700,2,0.03030303,66
Los Angeles,6037267800,0,0,92
Los Angeles,6037267901,1,0.018181818,55
Los Angeles,6037267902,1,0.009615385,104
Los Angeles,6037269000,2,0.015748031,127
Los Angeles,6037269100,4,0.021978022,182
Los Angeles,6037269300,2,0.032258065,62
Los Angeles,6037269500,5,0.034722222,144
Los Angeles,6037269601,7,0.042168675,166
Los Angeles,6037269602,17,0.092391304,184
Los Angeles,6037269700,5,0.037037037,135
Los Angeles,6037269800,0,0,72
Los Angeles,6037269903,4,0.043478261,92
Los Angeles,6037269905,1,0.019607843,51
Los Angeles,6037269906,1,0.012820513,78
Los Angeles,6037269907,4,0.051948052,77
Los Angeles,6037269908,3,0.055555556,54
Los Angeles,6037269909,6,0.076923077,78
Los Angeles,6037270101,0,0,44
Los Angeles,6037270102,1,0.027027027,37
Los Angeles,6037270200,4,0.037735849,106
Los Angeles,6037270300,4,0.033057851,121
Los Angeles,6037271100,2,0.04,50
Los Angeles,6037271200,4,0.056338028,71
Los Angeles,6037271300,3,0.029126214,103
Los Angeles,6037271400,3,0.034482759,87
Los Angeles,6037271500,3,0.042857143,70
Los Angeles,6037271600,1,0.009615385,104
Los Angeles,6037271702,2,0.012820513,156
Los Angeles,6037271703,3,0.03030303,99
Los Angeles,6037271704,0,0,51
Los Angeles,6037271801,4,0.031007752,129
Los Angeles,6037271803,3,0.025862069,116
Los Angeles,6037271804,1,0.015151515,66
Los Angeles,6037271901,2,0.024691358,81
Los Angeles,6037271902,2,0.021052632,95
Los Angeles,6037272100,2,0.018018018,111
Los Angeles,6037272201,4,0.068965517,58
Los Angeles,6037272202,5,0.03968254,126
Los Angeles,6037272301,2,0.028985507,69
Los Angeles,6037272302,3,0.024590164,122
Los Angeles,6037273100,1,0.014705882,68
Los Angeles,6037273200,5,0.047169811,106
Los Angeles,6037273300,7,0.07,100
Los Angeles,6037273403,0,0,7
Los Angeles,6037273404,0,0,24
Los Angeles,6037273502,4,0.111111111,36
Los Angeles,6037273600,1,0.03030303,33
Los Angeles,6037273700,7,0.104477612,67
Los Angeles,6037273800,5,0.072463768,69
Los Angeles,6037273902,3,0.041666667,72
Los Angeles,6037274100,2,0.021505376,93
Los Angeles,6037274202,1,0.012820513,78
Los Angeles,6037275101,1,0.03125,32
Los Angeles,6037275102,7,0.028571429,245
Los Angeles,6037275200,10,0.055248619,181
Los Angeles,6037275311,0,0,130
Los Angeles,6037275312,2,0.037735849,53
Los Angeles,6037275313,3,0.038461538,78
Los Angeles,6037275400,2,0.01754386,114
Los Angeles,6037275500,4,0.016877637,237
Los Angeles,6037275603,1,0.010752688,93
Los Angeles,6037275604,1,0.003952569,253
Los Angeles,6037275605,0,0,79
Los Angeles,6037276000,0,0,142
Los Angeles,6037276101,2,0.030769231,65
Los Angeles,6037276102,1,0.009009009,111
Los Angeles,6037276400,2,0.021052632,95
Los Angeles,6037276500,2,0.042553191,47
Los Angeles,6037276601,0,0,103
Los Angeles,6037276605,0,0,32
Los Angeles,6037276606,1,0.013888889,72
Los Angeles,6037276607,3,0.071428571,42
Los Angeles,6037276608,0,0,30
Los Angeles,6037277000,1,0.007633588,131
Los Angeles,6037277100,1,0.012820513,78
Los Angeles,6037277200,1,0.015625,64
Los Angeles,6037277400,0,0,5
Los Angeles,6037278001,2,0.033333333,60
Los Angeles,6037278102,0,0,41
Los Angeles,6037291110,3,0.01048951,286
Los Angeles,6037291120,1,0.00729927,137
Los Angeles,6037291130,1,0.005586592,179
Los Angeles,6037291210,6,0.022641509,265
Los Angeles,6037291220,4,0.02020202,198
Los Angeles,6037291300,0,0,98
Los Angeles,6037292001,1,0.003610108,277
Los Angeles,6037292002,1,0.018518519,54
Los Angeles,6037293203,1,0.007751938,129
Los Angeles,6037293204,0,0,135
Los Angeles,6037293205,2,0.01183432,169
Los Angeles,6037293206,4,0.02259887,177
Los Angeles,6037293301,0,0,52
Los Angeles,6037293302,0,0,179
Los Angeles,6037293304,0,0,221
Los Angeles,6037293306,0,0,57
Los Angeles,6037293307,1,0.007751938,129
Los Angeles,6037294110,3,0.016853933,178
Los Angeles,6037294120,0,0,159
Los Angeles,6037294200,6,0.029126214,206
Los Angeles,6037294301,1,0.007751938,129
Los Angeles,6037294302,2,0.006578947,304
Los Angeles,6037294410,7,0.034146341,205
Los Angeles,6037294421,0,0,164
Los Angeles,6037294510,2,0.007042254,284
Los Angeles,6037294520,5,0.021834061,229
Los Angeles,6037294610,1,0.004761905,210
Los Angeles,6037294620,2,0.009389671,213
Los Angeles,6037294701,2,0.011695906,171
Los Angeles,6037294810,4,0.014440433,277
Los Angeles,6037294820,7,0.026119403,268
Los Angeles,6037294830,5,0.021008403,238
Los Angeles,6037294900,10,0.037453184,267
Los Angeles,6037295103,0,0,77
Los Angeles,6037296210,7,0.04375,160
Los Angeles,6037296220,5,0.023474178,213
Los Angeles,6037296300,0,0,85
Los Angeles,6037296401,0,0,65
Los Angeles,6037296402,0,0,73
Los Angeles,6037296500,1,0.008849558,113
Los Angeles,6037296600,6,0.027906977,215
Los Angeles,6037296901,2,0.010869565,184
Los Angeles,6037296902,2,0.012903226,155
Los Angeles,6037297001,1,0.058823529,17
Los Angeles,6037297002,0,0,70
Los Angeles,6037297110,8,0.043715847,183
Los Angeles,6037297120,3,0.022556391,133
Los Angeles,6037297201,4,0.035087719,114
Los Angeles,6037297202,1,0.013157895,76
Los Angeles,6037297300,0,0,30
Los Angeles,6037297400,1,0.027777778,36
Los Angeles,6037297501,1,0.041666667,24
Los Angeles,6037297502,0,0,44
Los Angeles,6037297601,0,0,26
Los Angeles,6037297602,1,0.015873016,63
Los Angeles,6037300100,1,0.0078125,128
Los Angeles,6037300200,2,0.017391304,115
Los Angeles,6037300301,1,0.00591716,169
Los Angeles,6037300400,1,0.006134969,163
Los Angeles,6037300501,1,0.010638298,94
Los Angeles,6037300503,4,0.023809524,168
Los Angeles,6037300601,3,0.018867925,159
Los Angeles,6037300602,4,0.050632911,79
Los Angeles,6037300701,2,0.015625,128
Los Angeles,6037300702,1,0.008403361,119
Los Angeles,6037300800,4,0.020100503,199
Los Angeles,6037300901,3,0.01875,160
Los Angeles,6037300902,0,0,46
Los Angeles,6037301000,1,0.006578947,152
Los Angeles,6037301100,6,0.024896266,241
Los Angeles,6037301203,2,0.012578616,159
Los Angeles,6037301204,0,0,170
Los Angeles,6037301205,1,0.012658228,79
Los Angeles,6037301206,6,0.02970297,202
Los Angeles,6037301300,1,0.018181818,55
Los Angeles,6037301400,3,0.031914894,94
Los Angeles,6037301501,0,0,55
Los Angeles,6037301502,7,0.026415094,265
Los Angeles,6037301601,5,0.020920502,239
Los Angeles,6037301602,4,0.028776978,139
Los Angeles,6037301701,0,0,106
Los Angeles,6037301702,3,0.014705882,204
Los Angeles,6037301801,1,0.003875969,258
Los Angeles,6037301802,1,0.004672897,214
Los Angeles,6037301901,4,0.019512195,205
Los Angeles,6037301902,4,0.030075188,133
Los Angeles,6037302002,7,0.038043478,184
Los Angeles,6037302003,1,0.00625,160
Los Angeles,6037302004,4,0.022857143,175
Los Angeles,6037302102,8,0.031372549,255
Los Angeles,6037302103,5,0.020491803,244
Los Angeles,6037302104,8,0.043956044,182
Los Angeles,6037302201,3,0.026548673,113
Los Angeles,6037302202,7,0.033492823,209
Los Angeles,6037302301,2,0.014814815,135
Los Angeles,6037302302,5,0.022421525,223
Los Angeles,6037302401,0,0,279
Los Angeles,6037302503,7,0.037837838,185
Los Angeles,6037302504,5,0.028735632,174
Los Angeles,6037302505,3,0.01986755,151
Los Angeles,6037302506,3,0.02,150
Los Angeles,6037310100,0,0,141
Los Angeles,6037310201,1,0.005988024,167
Los Angeles,6037310202,1,0.006024096,166
Los Angeles,6037310300,2,0.026666667,75
Los Angeles,6037310400,1,0.009174312,109
Los Angeles,6037310501,0,0,170
Los Angeles,6037310601,6,0.021428571,280
Los Angeles,6037310602,2,0.017857143,112
Los Angeles,6037310701,3,0.034482759,87
Los Angeles,6037310703,2,0.013157895,152
Los Angeles,6037310704,2,0.011111111,180
Los Angeles,6037310705,0,0,45
Los Angeles,6037310800,0,0,152
Los Angeles,6037310900,1,0.004347826,230
Los Angeles,6037311000,1,0.008264463,121
Los Angeles,6037311100,0,0,151
Los Angeles,6037311200,0,0,113
Los Angeles,6037311300,1,0.009708738,103
Los Angeles,6037311400,0,0,72
Los Angeles,6037311500,1,0.005813953,172
Los Angeles,6037311601,0,0,44
Los Angeles,6037311602,1,0.008474576,118
Los Angeles,6037311700,1,0.006666667,150
Los Angeles,6037311801,3,0.020408163,147
Los Angeles,6037311802,8,0.045714286,175
Los Angeles,6037320101,0,0,192
Los Angeles,6037320102,3,0.014492754,207
Los Angeles,6037320201,4,0.020618557,194
Los Angeles,6037320202,6,0.02020202,297
Los Angeles,6037320300,6,0.015345269,391
Los Angeles,6037400205,0,0,56
Los Angeles,6037400206,1,0.009090909,110
Los Angeles,6037400207,0,0,87
Los Angeles,6037400208,0,0,40
Los Angeles,6037400209,0,0,80
Los Angeles,6037400304,1,0.003802281,263
Los Angeles,6037400402,0,0,141
Los Angeles,6037400403,0,0,96
Los Angeles,6037400404,0,0,71
Los Angeles,6037400501,0,0,34
Los Angeles,6037400602,6,0.026666667,225
Los Angeles,6037400603,4,0.019512195,205
Los Angeles,6037400605,2,0.006557377,305
Los Angeles,6037400801,1,0.004524887,221
Los Angeles,6037401001,0,0,81
Los Angeles,6037401002,0,0,114
Los Angeles,6037401101,0,0,216
Los Angeles,6037401102,1,0.005780347,173
Los Angeles,6037401201,1,0.008547009,117
Los Angeles,6037401202,0,0,155
Los Angeles,6037401203,3,0.013157895,228
Los Angeles,6037401303,0,0,38
Los Angeles,6037401304,2,0.012048193,166
Los Angeles,6037401311,1,0.003875969,258
Los Angeles,6037401312,1,0.006666667,150
Los Angeles,6037401500,2,0.010752688,186
Los Angeles,6037401601,3,0.027777778,108
Los Angeles,6037401602,7,0.04,175
Los Angeles,6037401705,1,0.014705882,68
Los Angeles,6037401706,0,0,162
Los Angeles,6037401707,4,0.012048193,332
Los Angeles,6037401801,0,0,79
Los Angeles,6037401802,2,0.021276596,94
Los Angeles,6037401901,0,0,9
Los Angeles,6037401902,0,0,81
Los Angeles,6037402001,1,0.010752688,93
Los Angeles,6037402002,2,0.021978022,91
Los Angeles,6037402101,4,0.01183432,338
Los Angeles,6037402102,1,0.003676471,272
Los Angeles,6037402200,6,0.018808777,319
Los Angeles,6037402301,2,0.006006006,333
Los Angeles,6037402303,8,0.034482759,232
Los Angeles,6037402304,6,0.021201413,283
Los Angeles,6037402403,5,0.017667845,283
Los Angeles,6037402404,0,0,1
Los Angeles,6037402405,3,0.013761468,218
Los Angeles,6037402406,3,0.008797654,341
Los Angeles,6037402501,15,0.036585366,410
Los Angeles,6037402503,2,0.008849558,226
Los Angeles,6037402504,8,0.043715847,183
Los Angeles,6037402601,6,0.026548673,226
Los Angeles,6037402602,7,0.039548023,177
Los Angeles,6037402702,16,0.029143898,549
Los Angeles,6037402703,3,0.010273973,292
Los Angeles,6037402705,4,0.021505376,186
Los Angeles,6037402706,4,0.017094017,234
Los Angeles,6037402801,7,0.018324607,382
Los Angeles,6037402803,3,0.015,200
Los Angeles,6037402804,7,0.036649215,191
Los Angeles,6037402902,9,0.019067797,472
Los Angeles,6037402903,6,0.020833333,288
Los Angeles,6037402904,8,0.033057851,242
Los Angeles,6037403000,7,0.013888889,504
Los Angeles,6037403305,1,0.014705882,68
Los Angeles,6037403316,2,0.007874016,254
Los Angeles,6037403317,2,0.01242236,161
Los Angeles,6037403318,1,0.004587156,218
Los Angeles,6037403319,1,0.005555556,180
Los Angeles,6037403320,1,0.005405405,185
Los Angeles,6037403321,0,0,164
Los Angeles,6037403323,4,0.019047619,210
Los Angeles,6037403324,4,0.017391304,230
Los Angeles,6037403325,6,0.026200873,229
Los Angeles,6037403326,1,0.007751938,129
Los Angeles,6037403327,0,0,81
Los Angeles,6037403328,6,0.021505376,279
Los Angeles,6037403401,4,0.019900498,201
Los Angeles,6037403402,5,0.02994012,167
Los Angeles,6037403403,1,0.009259259,108
Los Angeles,6037403404,2,0.024390244,82
Los Angeles,6037403407,2,0.03030303,66
Los Angeles,6037403408,3,0.016853933,178
Los Angeles,6037403409,2,0.013333333,150
Los Angeles,6037403500,0,0,42
Los Angeles,6037403601,2,0.00862069,232
Los Angeles,6037403702,1,0.00729927,137
Los Angeles,6037403703,2,0.013513514,148
Los Angeles,6037403721,0,0,202
Los Angeles,6037403722,2,0.008438819,237
Los Angeles,6037403801,3,0.011904762,252
Los Angeles,6037403802,2,0.009174312,218
Los Angeles,6037403901,1,0.006024096,166
Los Angeles,6037403902,0,0,180
Los Angeles,6037404000,1,0.00456621,219
Los Angeles,6037404100,5,0.012106538,413
Los Angeles,6037404201,2,0.010362694,193
Los Angeles,6037404203,3,0.020833333,144
Los Angeles,6037404301,7,0.019830028,353
Los Angeles,6037404302,1,0.006622517,151
Los Angeles,6037404401,3,0.014925373,201
Los Angeles,6037404402,3,0.012295082,244
Los Angeles,6037404501,5,0.030120482,166
Los Angeles,6037404503,3,0.017857143,168
Los Angeles,6037404504,3,0.009493671,316
Los Angeles,6037404600,1,0.01754386,57
Los Angeles,6037404701,11,0.024719101,445
Los Angeles,6037404702,10,0.029411765,340
Los Angeles,6037404703,5,0.026455026,189
Los Angeles,6037404804,4,0.013888889,288
Los Angeles,6037404805,1,0.005347594,187
Los Angeles,6037404806,12,0.028169014,426
Los Angeles,6037404901,10,0.026041667,384
Los Angeles,6037404902,3,0.014925373,201
Los Angeles,6037404903,0,0,153
Los Angeles,6037405001,8,0.020512821,390
Los Angeles,6037405002,2,0.011049724,181
Los Angeles,6037405101,5,0.016233766,308
Los Angeles,6037405102,4,0.016,250
Los Angeles,6037405201,4,0.012987013,308
Los Angeles,6037405202,6,0.020134228,298
Los Angeles,6037405203,6,0.031088083,193
Los Angeles,6037405301,1,0.011111111,90
Los Angeles,6037405302,6,0.01875,320
Los Angeles,6037405400,5,0.022727273,220
Los Angeles,6037405500,1,0.003484321,287
Los Angeles,6037405600,5,0.020576132,243
Los Angeles,6037405701,2,0.009389671,213
Los Angeles,6037405702,5,0.016891892,296
Los Angeles,6037405800,4,0.014336918,279
Los Angeles,6037405900,2,0.009345794,214
Los Angeles,6037406000,4,0.018518519,216
Los Angeles,6037406101,2,0.013793103,145
Los Angeles,6037406103,5,0.015576324,321
Los Angeles,6037406201,6,0.031413613,191
Los Angeles,6037406300,5,0.029585799,169
Los Angeles,6037406413,1,0.003759398,266
Los Angeles,6037406500,7,0.019178082,365
Los Angeles,6037406601,2,0.007782101,257
Los Angeles,6037406602,5,0.016891892,296
Los Angeles,6037406701,1,0.0078125,128
Los Angeles,6037406702,6,0.02027027,296
Los Angeles,6037406801,4,0.019417476,206
Los Angeles,6037406903,15,0.026833631,559
Los Angeles,6037407001,5,0.012135922,412
Los Angeles,6037407002,7,0.026217228,267
Los Angeles,6037407101,4,0.015564202,257
Los Angeles,6037407102,5,0.0125,400
Los Angeles,6037407201,5,0.025125628,199
Los Angeles,6037407202,8,0.036866359,217
Los Angeles,6037407301,8,0.028368794,282
Los Angeles,6037407302,5,0.020833333,240
Los Angeles,6037407400,1,0.010989011,91
Los Angeles,6037407501,3,0.010273973,292
Los Angeles,6037407502,5,0.017730496,282
Los Angeles,6037407601,7,0.025,280
Los Angeles,6037407602,6,0.025641026,234
Los Angeles,6037407701,2,0.004830918,414
Los Angeles,6037407702,11,0.024774775,444
Los Angeles,6037407801,3,0.009966777,301
Los Angeles,6037407802,5,0.023364486,214
Los Angeles,6037407901,5,0.016393443,305
Los Angeles,6037407902,1,0.013888889,72
Los Angeles,6037408003,5,0.019011407,263
Los Angeles,6037408004,3,0.025,120
Los Angeles,6037408005,5,0.021929825,228
Los Angeles,6037408006,2,0.010638298,188
Los Angeles,6037408133,4,0.020304569,197
Los Angeles,6037408134,2,0.01980198,101
Los Angeles,6037408135,8,0.04040404,198
Los Angeles,6037408136,2,0.012738854,157
Los Angeles,6037408137,7,0.037837838,185
Los Angeles,6037408138,11,0.023354565,471
Los Angeles,6037408139,13,0.036931818,352
Los Angeles,6037408140,9,0.027950311,322
Los Angeles,6037408141,9,0.024,375
Los Angeles,6037408212,11,0.039285714,280
Los Angeles,6037408213,11,0.024444444,450
Los Angeles,6037408301,12,0.028985507,414
Los Angeles,6037408302,2,0.008298755,241
Los Angeles,6037408303,2,0.010752688,186
Los Angeles,6037408401,6,0.022641509,265
Los Angeles,6037408402,3,0.012552301,239
Los Angeles,6037408503,3,0.011583012,259
Los Angeles,6037408504,8,0.025,320
Los Angeles,6037408505,0,0,108
Los Angeles,6037408623,12,0.0591133,203
Los Angeles,6037408624,3,0.019607843,153
Los Angeles,6037408625,2,0.0125,160
Los Angeles,6037408626,7,0.023728814,295
Los Angeles,6037408627,1,0.008547009,117
Los Angeles,6037408628,4,0.01793722,223
Los Angeles,6037408629,2,0.015503876,129
Los Angeles,6037408631,7,0.022292994,314
Los Angeles,6037408703,3,0.014925373,201
Los Angeles,6037408705,10,0.035335689,283
Los Angeles,6037408707,3,0.012396694,242
Los Angeles,6037408722,6,0.021126761,284
Los Angeles,6037408724,26,0.049429658,526
Los Angeles,6037408725,12,0.027842227,431
Los Angeles,6037408800,6,0.020618557,291
Los Angeles,6037408900,0,0,156
Los Angeles,6037409000,6,0.017142857,350
Los Angeles,6037409100,5,0.014577259,343
Los Angeles,6037430003,1,0.009174312,109
Los Angeles,6037430004,7,0.042168675,166
Los Angeles,6037430005,0,0,158
Los Angeles,6037430101,4,0.016806723,238
Los Angeles,6037430102,5,0.014534884,344
Los Angeles,6037430200,0,0,26
Los Angeles,6037430301,0,0,75
Los Angeles,6037430302,1,0.005681818,176
Los Angeles,6037430400,1,0.009090909,110
Los Angeles,6037430501,1,0.014925373,67
Los Angeles,6037430502,4,0.025641026,156
Los Angeles,6037430600,1,0.013333333,75
Los Angeles,6037430701,2,0.017241379,116
Los Angeles,6037430721,1,0.00990099,101
Los Angeles,6037430723,1,0.004310345,232
Los Angeles,6037430724,5,0.028089888,178
Los Angeles,6037430801,9,0.04368932,206
Los Angeles,6037430802,6,0.04379562,137
Los Angeles,6037430803,1,0.009009009,111
Los Angeles,6037430901,1,0.004201681,238
Los Angeles,6037430902,7,0.031674208,221
Los Angeles,6037431002,2,0.014814815,135
Los Angeles,6037431003,2,0.013422819,149
Los Angeles,6037431004,0,0,171
Los Angeles,6037431100,17,0.044854881,379
Los Angeles,6037431200,8,0.015904573,503
Los Angeles,6037431300,2,0.017391304,115
Los Angeles,6037431400,0,0,149
Los Angeles,6037431501,4,0.023255814,172
Los Angeles,6037431502,2,0.012738854,157
Los Angeles,6037431600,3,0.023809524,126
Los Angeles,6037431701,5,0.028089888,178
Los Angeles,6037431800,6,0.042553191,141
Los Angeles,6037431900,2,0.016393443,122
Los Angeles,6037432001,1,0.013513514,74
Los Angeles,6037432002,3,0.014218009,211
Los Angeles,6037432101,4,0.021978022,182
Los Angeles,6037432102,4,0.015384615,260
Los Angeles,6037432201,5,0.022026432,227
Los Angeles,6037432202,6,0.027777778,216
Los Angeles,6037432300,7,0.036649215,191
Los Angeles,6037432401,10,0.04587156,218
Los Angeles,6037432402,7,0.023255814,301
Los Angeles,6037432501,3,0.015625,192
Los Angeles,6037432502,3,0.02238806,134
Los Angeles,6037432601,10,0.028901734,346
Los Angeles,6037432602,7,0.026819923,261
Los Angeles,6037432700,18,0.04787234,376
Los Angeles,6037432801,4,0.024691358,162
Los Angeles,6037432802,4,0.009852217,406
Los Angeles,6037432901,6,0.032608696,184
Los Angeles,6037432902,10,0.05988024,167
Los Angeles,6037433103,18,0.042654028,422
Los Angeles,6037433200,21,0.047191011,445
Los Angeles,6037433302,4,0.03539823,113
Los Angeles,6037433304,6,0.02027027,296
Los Angeles,6037433305,6,0.023529412,255
Los Angeles,6037433306,9,0.05,180
Los Angeles,6037433307,7,0.03286385,213
Los Angeles,6037433402,10,0.04587156,218
Los Angeles,6037433403,7,0.025179856,278
Los Angeles,6037433505,9,0.028753994,313
Los Angeles,6037433506,10,0.03968254,252
Los Angeles,6037433601,8,0.033333333,240
Los Angeles,6037433602,4,0.01843318,217
Los Angeles,6037433803,1,0.005649718,177
Los Angeles,6037433804,9,0.042654028,211
Los Angeles,6037433901,16,0.054237288,295
Los Angeles,6037433903,6,0.013667426,439
Los Angeles,6037434001,11,0.038194444,288
Los Angeles,6037434003,9,0.041474654,217
Los Angeles,6037434004,6,0.029268293,205
Los Angeles,6037434100,13,0.027600849,471
Pasadena,6037460001,1,0.071428571,14
Pasadena,6037460002,2,0.040816327,49
Los Angeles,6037460101,0,0,74
Los Angeles,6037460200,2,0.014705882,136
Los Angeles,6037460301,3,0.020689655,145
Los Angeles,6037460302,10,0.055248619,181
Pasadena,6037460401,0,0,34
Los Angeles,6037460501,1,0.015625,64
Los Angeles,6037460502,0,0,51
Los Angeles,6037460601,1,0.014705882,68
Los Angeles,6037460700,0,0,58
Pasadena,6037460800,3,0.065217391,46
Pasadena,6037460900,14,0.036175711,387
Los Angeles,6037461000,11,0.033950617,324
Los Angeles,6037461100,2,0.011049724,181
Los Angeles,6037461200,4,0.041237113,97
Los Angeles,6037461300,0,0,179
Pasadena,6037461400,0,0,65
Pasadena,6037461501,6,0.033333333,180
Pasadena,6037461502,7,0.022580645,310
Pasadena,6037461600,26,0.08,325
Pasadena,6037461700,1,0.041666667,24
Pasadena,6037461901,15,0.042735043,351
Pasadena,6037461902,0,0,32
Pasadena,6037462001,17,0.073913043,230
Pasadena,6037462002,20,0.066006601,303
Pasadena,6037462100,18,0.054054054,333
Pasadena,6037462201,3,0.019736842,152
Pasadena,6037462202,1,0.008264463,121
Pasadena,6037462301,11,0.043650794,252
Pasadena,6037462302,3,0.021428571,140
Pasadena,6037462400,4,0.03125,128
Pasadena,6037462500,3,0.014285714,210
Pasadena,6037462600,0,0,61
Pasadena,6037462700,5,0.022222222,225
Pasadena,6037462800,1,0.008264463,121
Pasadena,6037462900,2,0.014084507,142
Pasadena,6037463000,1,0.011363636,88
Los Angeles,6037463103,7,0.037037037,189
Pasadena,6037463200,2,0.019417476,103
Los Angeles,6037463300,0,0,67
Pasadena,6037463400,3,0.015957447,188
Pasadena,6037463500,2,0.011560694,173
Pasadena,6037463601,5,0.023696682,211
Pasadena,6037463602,2,0.014388489,139
Pasadena,6037463700,2,0.034482759,58
Pasadena,6037463800,1,0.011494253,87
Pasadena,6037463900,0,0,73
Pasadena,6037464000,4,0.027972028,143
Los Angeles,6037464101,1,0.022727273,44
Los Angeles,6037464102,3,0.032608696,92
Los Angeles,6037464200,3,0.026086957,115
Los Angeles,6037480002,3,0.029411765,102
Los Angeles,6037480011,10,0.033112583,302
Los Angeles,6037480012,7,0.040697674,172
Los Angeles,6037480101,4,0.026666667,150
Los Angeles,6037480102,6,0.0375,160
Los Angeles,6037480201,1,0.009803922,102
Los Angeles,6037480202,1,0.014084507,71
Los Angeles,6037480302,7,0.04375,160
Los Angeles,6037480303,1,0.005524862,181
Los Angeles,6037480304,5,0.026455026,189
Los Angeles,6037480400,5,0.023041475,217
Los Angeles,6037480500,5,0.040650407,123
Los Angeles,6037480601,3,0.028301887,106
Los Angeles,6037480602,7,0.070707071,99
Los Angeles,6037480702,3,0.022900763,131
Los Angeles,6037480703,1,0.010989011,91
Los Angeles,6037480704,0,0,137
Los Angeles,6037480802,2,0.013333333,150
