Local Health Jurisdiction,GEOID,Number children under 6 w BLL at or above 3.5 µg/dL,Percent Children under  6 w BLL at or above 3.5 µg/dL ,Total Number children under 6 w/ BLL
Fresno,6019000602,28,0.204379562,137
Fresno,6019000701,15,0.054945055,273
Fresno,6019000702,10,0.079365079,126
Fresno,6019000901,6,0.018518519,324
Fresno,6019000902,24,0.041884817,573
Fresno,6019001000,18,0.040540541,444
Fresno,6019001100,33,0.089673913,368
Fresno,6019001201,14,0.024221453,578
Fresno,6019001202,9,0.020930233,430
Fresno,6019001301,34,0.060822898,559
Fresno,6019001303,8,0.02919708,274
Fresno,6019001304,22,0.037099494,593
Fresno,6019001407,13,0.020667727,629
Fresno,6019001408,1,0.017857143,56
Fresno,6019001409,1,0.008928571,112
Fresno,6019001411,14,0.029106029,481
Fresno,6019001412,4,0.018348624,218
Fresno,6019001413,8,0.017857143,448
Fresno,6019001415,14,0.028865979,485
Fresno,6019001416,18,0.035433071,508
Fresno,6019001417,7,0.016241299,431
Fresno,6019001418,1,0.010869565,92
Fresno,6019001500,8,0.057142857,140
Fresno,6019001600,8,0.047619048,168
Fresno,6019001700,11,0.036184211,304
Fresno,6019001800,10,0.038167939,262
Fresno,6019002000,34,0.053375196,637
Fresno,6019002100,25,0.080128205,312
Fresno,6019002200,23,0.14375,160
Fresno,6019002300,24,0.113207547,212
Fresno,6019002400,47,0.1,470
Fresno,6019002501,22,0.041509434,530
Fresno,6019002502,39,0.074856046,521
Fresno,6019002601,58,0.101045296,574
Fresno,6019002602,18,0.072580645,248
Fresno,6019002701,25,0.058962264,424
Fresno,6019002702,28,0.043076923,650
Fresno,6019002800,29,0.055984556,518
Fresno,6019002903,12,0.023255814,516
Fresno,6019002904,10,0.040160643,249
Fresno,6019002905,8,0.02919708,274
Fresno,6019002906,9,0.019067797,472
Fresno,6019003001,13,0.039877301,326
Fresno,6019003003,10,0.026954178,371
Fresno,6019003004,4,0.019704433,203
Fresno,6019003102,3,0.005300353,566
Fresno,6019003103,13,0.033163265,392
Fresno,6019003104,3,0.014423077,208
Fresno,6019003201,12,0.028985507,414
Fresno,6019003202,15,0.028846154,520
Fresno,6019003301,9,0.037037037,243
Fresno,6019003302,13,0.03163017,411
Fresno,6019003401,19,0.060509554,314
Fresno,6019003402,0,0,145
Fresno,6019003500,24,0.074303406,323
Fresno,6019003600,7,0.044585987,157
Fresno,6019003701,14,0.04964539,282
Fresno,6019003702,12,0.035087719,342
Fresno,6019003804,4,0.011904762,336
Fresno,6019003805,10,0.020080321,498
Fresno,6019003807,10,0.042372881,236
Fresno,6019003808,11,0.034920635,315
Fresno,6019003809,10,0.026455026,378
Fresno,6019003810,4,0.013468013,297
Fresno,6019003811,14,0.029227557,479
Fresno,6019003812,1,0.008474576,118
Fresno,6019003900,25,0.077399381,323
Fresno,6019004003,8,0.025316456,316
Fresno,6019004004,8,0.022922636,349
Fresno,6019004005,15,0.035294118,425
Fresno,6019004006,4,0.014925373,268
Fresno,6019004100,7,0.044303797,158
Fresno,6019004205,14,0.036363636,385
Fresno,6019004208,2,0.014925373,134
Fresno,6019004210,4,0.02247191,178
Fresno,6019004211,9,0.030821918,292
Fresno,6019004212,11,0.018151815,606
Fresno,6019004213,4,0.033613445,119
Fresno,6019004214,3,0.036144578,83
Fresno,6019004215,5,0.030120482,166
Fresno,6019004216,3,0.021276596,141
Fresno,6019004217,10,0.033783784,296
Fresno,6019004218,6,0.01734104,346
Fresno,6019004301,0,0,46
Fresno,6019004302,2,0.031746032,63
Fresno,6019004303,1,0.018518519,54
Fresno,6019004404,7,0.029411765,238
Fresno,6019004405,0,0,71
Fresno,6019004406,2,0.011363636,176
Fresno,6019004409,9,0.079646018,113
Fresno,6019004410,1,0.015151515,66
Fresno,6019004411,0,0,20
Fresno,6019004503,2,0.019047619,105
Fresno,6019004504,7,0.030837004,227
Fresno,6019004505,5,0.017182131,291
Fresno,6019004506,0,0,66
Fresno,6019004601,3,0.035714286,84
Fresno,6019004602,1,0.016949153,59
Fresno,6019004703,8,0.028571429,280
Fresno,6019004704,16,0.033542977,477
Fresno,6019004705,7,0.0625,112
Fresno,6019004706,8,0.027491409,291
Fresno,6019004801,13,0.035326087,368
Fresno,6019004802,14,0.032332564,433
Fresno,6019004901,12,0.043165468,278
Fresno,6019004902,0,0,78
Fresno,6019005000,7,0.033816425,207
Fresno,6019005100,22,0.051522248,427
Fresno,6019005202,12,0.040677966,295
Fresno,6019005203,14,0.038888889,360
Fresno,6019005204,7,0.024137931,290
Fresno,6019005301,20,0.051413882,389
Fresno,6019005302,6,0.018461538,325
Fresno,6019005304,14,0.042813456,327
Fresno,6019005305,11,0.039145907,281
Fresno,6019005403,11,0.047826087,230
Fresno,6019005405,9,0.055900621,161
Fresno,6019005406,3,0.030612245,98
Fresno,6019005407,1,0.013333333,75
Fresno,6019005408,0,0,3
Fresno,6019005409,6,0.031746032,189
Fresno,6019005410,6,0.0375,160
Fresno,6019005503,5,0.038461538,130
Fresno,6019005504,1,0.017857143,56
Fresno,6019005505,5,0.040322581,124
Fresno,6019005507,0,0,116
Fresno,6019005508,4,0.033898305,118
Fresno,6019005509,3,0.018181818,165
Fresno,6019005512,5,0.042372881,118
Fresno,6019005513,1,0.024390244,41
Fresno,6019005514,0,0,56
Fresno,6019005515,1,0.083333333,12
Fresno,6019005516,2,0.017857143,112
Fresno,6019005518,1,0.010526316,95
Fresno,6019005520,2,0.035087719,57
Fresno,6019005522,0,0,52
Fresno,6019005524,1,0.021276596,47
Fresno,6019005525,0,0,19
Fresno,6019005526,2,0.058823529,34
Fresno,6019005527,3,0.038461538,78
Fresno,6019005528,3,0.125,24
Fresno,6019005529,6,0.074074074,81
Fresno,6019005602,3,0.014084507,213
Fresno,6019005605,0,0,30
Fresno,6019005606,3,0.026785714,112
Fresno,6019005607,0,0,203
Fresno,6019005608,2,0.015037594,133
Fresno,6019005701,4,0.037037037,108
Fresno,6019005702,3,0.025210084,119
Fresno,6019005703,3,0.0375,80
Fresno,6019005704,6,0.024489796,245
Fresno,6019005801,4,0.020304569,197
Fresno,6019005802,0,0,78
Fresno,6019005804,5,0.014450867,346
Fresno,6019005805,6,0.017391304,345
Fresno,6019005904,8,0.033472803,239
Fresno,6019005906,2,0.029850746,67
Fresno,6019005907,1,0.011764706,85
Fresno,6019005911,1,0.005181347,193
Fresno,6019005912,5,0.017123288,292
Fresno,6019005913,1,0.016666667,60
Fresno,6019005914,1,0.009174312,109
Fresno,6019005915,1,0.015873016,63
Fresno,6019005916,2,0.018518519,108
Fresno,6019006001,7,0.028571429,245
Fresno,6019006002,10,0.036764706,272
Fresno,6019006101,10,0.058479532,171
Fresno,6019006102,16,0.054237288,295
Fresno,6019006201,10,0.04048583,247
Fresno,6019006202,34,0.061041293,557
Fresno,6019006301,20,0.049751244,402
Fresno,6019006302,2,0.022988506,87
Fresno,6019006405,4,0.046511628,86
Fresno,6019006406,2,0.057142857,35
Fresno,6019006407,1,0.02,50
Fresno,6019006408,0,0,25
Fresno,6019006409,0,0,14
Fresno,6019006410,6,0.06185567,97
Fresno,6019006411,1,0.013157895,76
Fresno,6019006501,25,0.031887755,784
Fresno,6019006502,30,0.054945055,546
Fresno,6019006602,32,0.053511706,598
Fresno,6019006603,2,0.011976048,167
Fresno,6019006605,5,0.031847134,157
Fresno,6019006606,17,0.025449102,668
Fresno,6019006700,19,0.037401575,508
Fresno,6019006802,14,0.048951049,286
Fresno,6019006900,7,0.046052632,152
Fresno,6019007002,46,0.124661247,369
Fresno,6019007003,31,0.061876248,501
Fresno,6019007004,26,0.07027027,370
Fresno,6019007101,43,0.077757685,553
Fresno,6019007102,15,0.145631068,103
Fresno,6019007202,18,0.075949367,237
Fresno,6019007203,0,0,46
Fresno,6019007204,17,0.056666667,300
Fresno,6019007300,27,0.101503759,266
Fresno,6019007400,16,0.114285714,140
Fresno,6019007500,47,0.124010554,379
Fresno,6019007600,24,0.076190476,315
Fresno,6019007700,35,0.086419753,405
Fresno,6019007801,1,0.045454545,22
Fresno,6019007802,6,0.06741573,89
Fresno,6019007903,3,0.04,75
Fresno,6019008000,13,0.049242424,264
Fresno,6019008100,28,0.073298429,382
Fresno,6019008200,10,0.063291139,158
Fresno,6019008301,6,0.009508716,631
Fresno,6019008303,6,0.016042781,374
Fresno,6019008304,1,0.003875969,258
Fresno,6019008402,4,0.081632653,49
Fresno,6019008403,4,0.027027027,148
Fresno,6019008404,9,0.026865672,335
Fresno,6019008405,5,0.025906736,193
Fresno,6019008501,21,0.046563193,451
Fresno,6019008503,15,0.031185031,481
Fresno,6019008504,16,0.037558685,426
Fresno,6019008600,16,0.055555556,288
Glenn,6021010101,5,0.016778523,298
Glenn,6021010102,7,0.025830258,271
Glenn,6021010200,5,0.020920502,239
Glenn,6021010300,1,0.025,40
Glenn,6021010401,2,0.025641026,78
Glenn,6021010402,16,0.038004751,421
Glenn,6021010501,0,0,48
Glenn,6021010502,3,0.06122449,49
Humboldt,6023000100,67,0.160287081,418
Humboldt,6023000200,63,0.172131148,366
Humboldt,6023000300,46,0.119791667,384
Humboldt,6023000400,24,0.101694915,236
Humboldt,6023000500,34,0.18579235,183
Humboldt,6023000600,37,0.145098039,255
Humboldt,6023000700,20,0.079051383,253
Humboldt,6023000800,32,0.126482213,253
Humboldt,6023000900,13,0.073033708,178
Humboldt,6023001001,7,0.125,56
Humboldt,6023001002,4,0.076923077,52
Humboldt,6023001102,16,0.091954023,174
Humboldt,6023001103,7,0.107692308,65
Humboldt,6023001200,14,0.128440367,109
Humboldt,6023001300,5,0.125,40
Humboldt,6023010102,1,0.25,4
Humboldt,6023010200,5,0.151515152,33
Humboldt,6023010300,11,0.142857143,77
Humboldt,6023010400,14,0.082352941,170
Humboldt,6023010502,16,0.072072072,222
Humboldt,6023010503,25,0.102880658,243
Humboldt,6023010504,8,0.054421769,147
Humboldt,6023010600,6,0.082191781,73
Humboldt,6023010701,13,0.065326633,199
Humboldt,6023010702,6,0.054545455,110
Humboldt,6023010800,31,0.15270936,203
Humboldt,6023010901,22,0.096069869,229
Humboldt,6023010902,20,0.110497238,181
Humboldt,6023011000,27,0.088815789,304
Humboldt,6023011100,27,0.113924051,237
Humboldt,6023011200,16,0.173913043,92
Humboldt,6023011501,1,0.027777778,36
Humboldt,6023011502,13,0.393939394,33
Humboldt,6023011600,5,0.081967213,61
Humboldt,6023940000,0,0,0
Imperial,6025010101,0,0,0
Imperial,6025010102,6,0.034482759,174
Imperial,6025010200,0,0,41
Imperial,6025010300,0,0,40
Imperial,6025010401,0,0,136
Imperial,6025010402,8,0.019900498,402
Imperial,6025010500,9,0.017509728,514
Imperial,6025010600,11,0.020872865,527
Imperial,6025010700,5,0.011574074,432
Imperial,6025010800,3,0.047619048,63
Imperial,6025010900,9,0.016333938,551
Imperial,6025011001,9,0.018947368,475
Imperial,6025011002,16,0.025276461,633
Imperial,6025011100,5,0.037878788,132
Imperial,6025011201,16,0.026890756,595
Imperial,6025011202,12,0.025157233,477
Imperial,6025011301,3,0.012605042,238
Imperial,6025011302,1,0.012048193,83
Imperial,6025011303,7,0.020588235,340
Imperial,6025011400,12,0.024144869,497
Imperial,6025011500,31,0.03989704,777
Imperial,6025011600,22,0.034003091,647
Imperial,6025011700,11,0.028645833,384
Imperial,6025011801,1,0.005524862,181
Imperial,6025011802,8,0.018099548,442
Imperial,6025011803,6,0.02166065,277
Imperial,6025011901,9,0.043902439,205
Imperial,6025011902,8,0.025396825,315
Imperial,6025011903,5,0.014619883,342
Imperial,6025012001,17,0.035051546,485
Imperial,6025012003,18,0.075313808,239
Imperial,6025012004,22,0.036912752,596
Imperial,6025012101,27,0.055441478,487
Imperial,6025012102,14,0.034912718,401
Imperial,6025012201,10,0.024875622,402
Imperial,6025012202,14,0.037735849,371
Imperial,6025012301,2,0.030769231,65
Imperial,6025012302,5,0.008064516,620
Imperial,6025012400,1,0.076923077,13
Imperial,6025940000,0,0,11
Inyo,6027000100,4,0.042105263,95
Inyo,6027000200,2,0.037037037,54
Inyo,6027000300,2,0.028571429,70
Inyo,6027000400,10,0.053763441,186
Inyo,6027000500,7,0.114754098,61
Inyo,6027000800,1,0.034482759,29
Kern,6029000102,15,0.064102564,234
Kern,6029000103,11,0.039568345,278
Kern,6029000104,1,0.008264463,121
Kern,6029000105,4,0.009852217,406
Kern,6029000106,6,0.030456853,197
Kern,6029000201,20,0.058309038,343
Kern,6029000202,13,0.046099291,282
Kern,6029000300,37,0.106017192,349
Kern,6029000400,22,0.056410256,390
Kern,6029000504,5,0.016611296,301
Kern,6029000505,4,0.027210884,147
Kern,6029000506,1,0.008130081,123
Kern,6029000507,3,0.016393443,183
Kern,6029000508,1,0.010309278,97
Kern,6029000509,2,0.020618557,97
Kern,6029000510,2,0.009478673,211
Kern,6029000601,6,0.02690583,223
Kern,6029000602,20,0.04950495,404
Kern,6029000603,12,0.043165468,278
Kern,6029000701,8,0.030888031,259
Kern,6029000702,4,0.024096386,166
Kern,6029000800,10,0.023809524,420
Kern,6029000902,6,0.02020202,297
Kern,6029000903,8,0.02247191,356
Kern,6029000904,5,0.015197568,329
Kern,6029000905,5,0.024390244,205
Kern,6029000906,5,0.012562814,398
Kern,6029000907,7,0.032407407,216
Kern,6029000908,4,0.011142061,359
Kern,6029000909,3,0.02027027,148
Kern,6029000911,7,0.03030303,231
Kern,6029000912,3,0.012048193,249
Kern,6029000913,0,0,217
Kern,6029000914,2,0.00877193,228
Kern,6029001001,4,0.016736402,239
Kern,6029001002,3,0.009009009,333
